Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1704304339.652395,46442,0,1
1,NewOrder,1704304339.698878,30561,0,1
1,NewOrder,1704304339.729467,36506,0,1
1,NewOrder,1704304339.765999,43097,0,1
2,Payment,1704304339.809124,30898,0,1
1,NewOrder,1704304339.840054,35653,0,1
1,NewOrder,1704304339.875738,30949,0,1
3,OrderStatus,1704304339.906713,3702,0,1
1,NewOrder,1704304339.910434,32240,0,1
2,Payment,1704304339.942702,19282,0,1
1,NewOrder,1704304339.962010,48926,0,1
2,Payment,1704304340.010963,6674,0,1
2,Payment,1704304340.017662,33164,0,1
1,NewOrder,1704304340.050853,34542,0,1
2,Payment,1704304340.085423,3900,0,1
1,NewOrder,1704304340.089348,5869,0,1
1,NewOrder,1704304340.095279,6639,0,1
1,NewOrder,1704304340.101946,15591,0,1
2,Payment,1704304340.117565,10804,0,1
4,Delivery,1704304340.128892,11773,0,1
2,Payment,1704304340.140691,3397,0,1
4,Delivery,1704304340.144117,18653,0,1
1,NewOrder,1704304340.162797,34140,0,1
1,NewOrder,1704304340.196964,32347,0,1
2,Payment,1704304340.229624,10048,0,1
1,NewOrder,1704304340.240660,5614,0,1
1,NewOrder,1704304340.246301,6291,0,1
2,Payment,1704304340.252619,3828,0,1
2,Payment,1704304340.256473,5710,0,1
1,NewOrder,1704304340.262246,21984,0,1
2,Payment,1704304340.284257,3711,0,1
1,NewOrder,1704304340.287992,5684,0,1
1,NewOrder,1704304340.293701,13093,0,1
1,NewOrder,1704304340.306823,10827,0,1
1,NewOrder,1704304340.317679,10922,0,1
2,Payment,1704304340.328628,3443,0,1
1,NewOrder,1704304340.332094,5510,0,1
1,NewOrder,1704304340.337651,36121,0,1
3,OrderStatus,1704304340.373799,1322,0,1
1,NewOrder,1704304340.375139,31588,0,1
2,Payment,1704304340.406755,12554,0,1
2,Payment,1704304340.419337,8431,0,1
5,StockLevel,1704304340.427791,1879,0,1
1,NewOrder,1704304340.429693,32650,0,1
1,NewOrder,1704304340.462371,33966,0,1
2,Payment,1704304340.496366,43426,0,1
1,NewOrder,1704304340.539820,22783,0,1
2,Payment,1704304340.562632,52493,0,1
4,Delivery,1704304340.615157,35146,0,1
2,Payment,1704304340.650331,33455,0,1
1,NewOrder,1704304340.683814,33489,0,1
2,Payment,1704304340.717330,23554,0,1
5,StockLevel,1704304340.740915,4067,0,1
1,NewOrder,1704304340.745007,26971,0,1
2,Payment,1704304340.772007,11005,0,1
2,Payment,1704304340.783655,10474,0,1
3,OrderStatus,1704304340.794161,4608,0,1
2,Payment,1704304340.798792,40268,0,1
2,Payment,1704304340.839093,33511,0,1
2,Payment,1704304340.872634,33449,0,1
2,Payment,1704304340.906112,21290,0,1
2,Payment,1704304340.927430,22782,0,1
2,Payment,1704304340.950241,32574,0,1
1,NewOrder,1704304340.982844,33861,0,1
2,Payment,1704304341.016748,10327,0,1
2,Payment,1704304341.027107,10697,0,1
1,NewOrder,1704304341.037833,33260,0,1
4,Delivery,1704304341.071123,35028,0,1
1,NewOrder,1704304341.106183,20787,0,1
2,Payment,1704304341.127001,3493,0,1
5,StockLevel,1704304341.130524,3005,0,1
1,NewOrder,1704304341.133549,11147,0,1
4,Delivery,1704304341.144724,45279,0,1
1,NewOrder,1704304341.190033,25060,0,1
1,NewOrder,1704304341.215123,34394,0,1
4,Delivery,1704304341.249550,31916,0,1
1,NewOrder,1704304341.281498,34652,0,1
1,NewOrder,1704304341.316180,34681,0,1
2,Payment,1704304341.350888,3482,0,1
1,NewOrder,1704304341.354394,6322,0,1
1,NewOrder,1704304341.360745,4862,0,1
2,Payment,1704304341.365633,4102,0,1
2,Payment,1704304341.369763,4175,0,1
1,NewOrder,1704304341.373964,5045,0,1
1,NewOrder,1704304341.379035,37103,0,1
2,Payment,1704304341.416167,3659,0,1
1,NewOrder,1704304341.419849,4871,0,1
1,NewOrder,1704304341.424751,34922,0,1
1,NewOrder,1704304341.459701,6395,0,1
2,Payment,1704304341.466124,3989,0,1
2,Payment,1704304341.470142,3451,0,1
2,Payment,1704304341.473649,3505,0,1
2,Payment,1704304341.477184,6646,0,1
3,OrderStatus,1704304341.483872,1047,0,1
1,NewOrder,1704304341.484935,29953,0,1
2,Payment,1704304341.515098,21106,0,1
2,Payment,1704304341.536265,4373,0,1
1,NewOrder,1704304341.540664,5317,0,1
2,Payment,1704304341.546020,3696,0,1
2,Payment,1704304341.549738,3964,0,1
2,Payment,1704304341.553745,4048,0,1
2,Payment,1704304341.557820,4015,0,1
1,NewOrder,1704304341.561862,30999,0,1
1,NewOrder,1704304341.592887,6833,0,1
2,Payment,1704304341.599745,39092,0,1
2,Payment,1704304341.638863,10004,0,1
2,Payment,1704304341.648894,10903,0,1
2,Payment,1704304341.659835,31199,0,1
2,Payment,1704304341.691060,22098,0,1
2,Payment,1704304341.713184,22473,0,1
1,NewOrder,1704304341.735684,50239,0,1
1,NewOrder,1704304341.785950,35858,0,1
2,Payment,1704304341.821835,35280,0,1
1,NewOrder,1704304341.857305,35528,0,1
2,Payment,1704304341.892865,10822,0,1
1,NewOrder,1704304341.903862,10911,0,1
2,Payment,1704304341.914801,2945,0,1
1,NewOrder,1704304341.917917,41011,0,1
