Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1704390305.169170,39703,0,1
2,Payment,1704390305.208898,28411,0,1
1,NewOrder,1704390305.237336,21906,0,1
2,Payment,1704390305.259270,36961,0,1
2,Payment,1704390305.296262,12373,0,1
5,StockLevel,1704390305.308662,3630,0,1
2,Payment,1704390305.312310,22422,0,1
1,NewOrder,1704390305.334757,30966,0,1
2,Payment,1704390305.365748,30506,0,1
1,NewOrder,1704390305.396281,39064,0,1
4,Delivery,1704390305.435372,53951,0,1
1,NewOrder,1704390305.489349,28292,0,1
1,NewOrder,1704390305.517668,10997,0,1
2,Payment,1704390305.528734,4044,0,1
1,NewOrder,1704390305.532805,28903,0,1
1,NewOrder,1704390305.561733,11049,0,1
2,Payment,1704390305.572807,4118,0,1
2,Payment,1704390305.576952,33481,0,1
1,NewOrder,1704390305.610460,35146,0,1
1,NewOrder,1704390305.645633,20691,0,1
2,Payment,1704390305.666353,5736,0,1
1,NewOrder,1704390305.672118,11836,0,1
1,NewOrder,1704390305.683983,11211,0,1
1,NewOrder,1704390305.695242,7051,0,1
5,StockLevel,1704390305.702321,2471,0,1
1,NewOrder,1704390305.704815,27795,0,1
1,NewOrder,1704390305.732640,29248,0,1
1,NewOrder,1704390305.761919,10873,0,1
1,NewOrder,1704390305.772821,26429,0,1
2,Payment,1704390305.799291,29135,0,1
1,NewOrder,1704390305.828452,37073,0,1
2,Payment,1704390305.865551,29319,0,1
2,Payment,1704390305.894893,25783,0,1
2,Payment,1704390305.920704,3428,0,1
2,Payment,1704390305.924156,3744,0,1
2,Payment,1704390305.927920,4010,0,1
2,Payment,1704390305.931954,3522,0,1
1,NewOrder,1704390305.935499,25777,0,1
1,NewOrder,1704390305.961305,5638,0,1
1,NewOrder,1704390305.967232,31408,0,1
1,NewOrder,1704390305.998673,29926,0,1
1,NewOrder,1704390306.028625,10225,0,1
1,NewOrder,1704390306.038876,36883,0,1
2,Payment,1704390306.075790,3861,0,1
2,Payment,1704390306.079676,3747,0,1
1,NewOrder,1704390306.083447,25435,0,1
1,NewOrder,1704390306.108910,30316,0,1
2,Payment,1704390306.139253,3545,0,1
2,Payment,1704390306.142821,3564,0,1
2,Payment,1704390306.146405,4469,0,1
3,OrderStatus,1704390306.150920,2228,0,1
5,StockLevel,1704390306.153168,2124,0,1
1,NewOrder,1704390306.155313,31087,0,1
1,NewOrder,1704390306.186428,30211,0,1
1,NewOrder,1704390306.217309,6778,0,1
2,Payment,1704390306.224135,4878,0,1
1,NewOrder,1704390306.229303,35537,0,1
4,Delivery,1704390306.264865,30590,0,1
2,Payment,1704390306.295481,11682,0,1
1,NewOrder,1704390306.307191,46444,0,1
2,Payment,1704390306.353676,24860,0,1
1,NewOrder,1704390306.378826,43079,0,1
3,OrderStatus,1704390306.421933,5551,0,1
2,Payment,1704390306.427506,8443,0,1
2,Payment,1704390306.436407,27284,0,1
2,Payment,1704390306.463741,49970,0,1
2,Payment,1704390306.513740,14636,0,1
1,NewOrder,1704390306.528405,37458,0,1
2,Payment,1704390306.565891,41824,0,1
2,Payment,1704390306.607742,21825,0,1
1,NewOrder,1704390306.629593,21956,0,1
1,NewOrder,1704390306.651571,31053,0,1
4,Delivery,1704390306.683088,43107,0,1
5,StockLevel,1704390306.726219,1357,0,1
5,StockLevel,1704390306.727593,1054,0,1
1,NewOrder,1704390306.728659,34175,0,1
1,NewOrder,1704390306.762864,32883,0,1
2,Payment,1704390306.795774,32505,0,1
1,NewOrder,1704390306.828626,10866,0,1
2,Payment,1704390306.839518,10965,0,1
2,Payment,1704390306.850510,11768,0,1
1,NewOrder,1704390306.862305,33939,0,1
2,Payment,1704390306.896848,31834,0,1
3,OrderStatus,1704390306.928709,5451,0,1
1,NewOrder,1704390306.934180,29259,0,1
1,NewOrder,1704390306.963467,43233,0,1
1,NewOrder,1704390307.006743,33204,0,1
1,NewOrder,1704390307.040354,32865,0,1
1,NewOrder,1704390307.074112,31484,0,1
1,NewOrder,1704390307.105625,33487,0,1
2,Payment,1704390307.139159,32973,0,1
1,NewOrder,1704390307.172161,33067,0,1
2,Payment,1704390307.205255,33451,0,1
3,OrderStatus,1704390307.238735,4434,0,1
2,Payment,1704390307.243191,28186,0,1
1,NewOrder,1704390307.272120,32674,0,1
2,Payment,1704390307.305189,33703,0,1
1,NewOrder,1704390307.338946,34841,0,1
2,Payment,1704390307.373813,20331,0,1
2,Payment,1704390307.394172,33254,0,1
2,Payment,1704390307.427505,32095,0,1
1,NewOrder,1704390307.459627,11804,0,1
4,Delivery,1704390307.471458,44725,0,1
1,NewOrder,1704390307.516210,16019,0,1
1,NewOrder,1704390307.532254,47108,0,1
2,Payment,1704390307.579391,12278,0,1
1,NewOrder,1704390307.591692,46795,0,1
2,Payment,1704390307.638514,32571,0,1
2,Payment,1704390307.671130,21606,0,1
1,NewOrder,1704390307.692764,34831,0,1
1,NewOrder,1704390307.727641,31277,0,1
2,Payment,1704390307.759216,34481,0,1
2,Payment,1704390307.794785,30746,0,1
1,NewOrder,1704390307.825723,35069,0,1
2,Payment,1704390307.861300,33540,0,1
1,NewOrder,1704390307.894891,20787,0,1
1,NewOrder,1704390307.915702,44386,0,1
3,OrderStatus,1704390307.960115,5148,0,1
1,NewOrder,1704390307.965284,29303,0,1
1,NewOrder,1704390307.994629,58251,0,1
2,Payment,1704390308.053220,28035,0,1
2,Payment,1704390308.081280,33411,0,1
3,OrderStatus,1704390308.115229,5254,0,1
2,Payment,1704390308.120505,25659,0,1
1,NewOrder,1704390308.146190,34662,0,1
5,StockLevel,1704390308.180891,4568,0,1
1,NewOrder,1704390308.185482,27159,0,1
1,NewOrder,1704390308.212667,34900,0,1
3,OrderStatus,1704390308.247591,4646,0,1
1,NewOrder,1704390308.252277,27461,0,1
1,NewOrder,1704390308.279765,34400,0,1
1,NewOrder,1704390308.314194,31479,0,1
1,NewOrder,1704390308.345698,34875,0,1
4,Delivery,1704390308.380598,37790,0,1
2,Payment,1704390308.418413,4119,0,1
4,Delivery,1704390308.422556,56688,0,1
1,NewOrder,1704390308.479267,34404,0,1
2,Payment,1704390308.513697,10852,0,1
1,NewOrder,1704390308.524583,30889,0,1
2,Payment,1704390308.555497,22184,0,1
1,NewOrder,1704390308.577709,52632,0,1
2,Payment,1704390308.630367,30300,0,1
2,Payment,1704390308.660691,27730,0,1
1,NewOrder,1704390308.688448,37122,0,1
2,Payment,1704390308.725595,9664,0,1
2,Payment,1704390308.735285,11423,0,1
2,Payment,1704390308.746735,7756,0,1
1,NewOrder,1704390308.754516,33683,0,1
1,NewOrder,1704390308.788227,44418,0,1
2,Payment,1704390308.832671,21897,0,1
1,NewOrder,1704390308.854607,35931,0,1
1,NewOrder,1704390308.890564,30452,0,1
2,Payment,1704390308.921297,36352,0,1
3,OrderStatus,1704390308.957675,3655,0,1
2,Payment,1704390308.961350,25977,0,1
1,NewOrder,1704390308.987351,35886,0,1
1,NewOrder,1704390309.023416,10811,0,1
1,NewOrder,1704390309.034250,44857,0,1
2,Payment,1704390309.079130,30574,0,1
1,NewOrder,1704390309.109732,35919,0,1
1,NewOrder,1704390309.145677,41471,0,1
5,StockLevel,1704390309.187174,3392,0,1
2,Payment,1704390309.190586,48228,0,1
2,Payment,1704390309.238843,10110,0,1
2,Payment,1704390309.248981,8788,0,1
1,NewOrder,1704390309.257796,43671,0,1
2,Payment,1704390309.301493,8459,0,1
2,Payment,1704390309.309974,31520,0,1
1,NewOrder,1704390309.341522,44367,0,1
2,Payment,1704390309.385914,3985,0,1
1,NewOrder,1704390309.389921,44098,0,1
1,NewOrder,1704390309.434048,40408,0,1
2,Payment,1704390309.474480,37333,0,1
2,Payment,1704390309.511837,30304,0,1
1,NewOrder,1704390309.542169,43432,0,1
1,NewOrder,1704390309.585627,37467,0,1
2,Payment,1704390309.623120,43772,0,1
2,Payment,1704390309.666922,31988,0,1
2,Payment,1704390309.699386,34423,0,1
4,Delivery,1704390309.733845,63972,0,1
1,NewOrder,1704390309.797841,51537,0,1
2,Payment,1704390309.849401,16711,0,1
1,NewOrder,1704390309.866139,29216,0,1
1,NewOrder,1704390309.895380,38191,0,1
1,NewOrder,1704390309.933600,45517,0,1
1,NewOrder,1704390309.979147,27528,0,1
2,Payment,1704390310.006720,36951,0,1
2,Payment,1704390310.043698,10627,0,1
1,NewOrder,1704390310.054348,28948,0,1
2,Payment,1704390310.083340,38919,0,1
1,NewOrder,1704390310.122286,27966,0,1
1,NewOrder,1704390310.150276,37328,0,1
2,Payment,1704390310.187627,11046,0,1
1,NewOrder,1704390310.198696,39425,0,1
2,Payment,1704390310.238149,2982,0,1
2,Payment,1704390310.241170,3046,0,1
1,NewOrder,1704390310.244256,4719,0,1
1,NewOrder,1704390310.249006,5365,0,1
2,Payment,1704390310.254411,2990,0,1
2,Payment,1704390310.257445,3214,0,1
1,NewOrder,1704390310.260699,6206,0,1
1,NewOrder,1704390310.266936,5720,0,1
2,Payment,1704390310.272683,37155,0,1
2,Payment,1704390310.309868,10891,0,1
1,NewOrder,1704390310.320785,40816,0,1
4,Delivery,1704390310.361643,43229,0,1
1,NewOrder,1704390310.404901,6045,0,1
2,Payment,1704390310.410970,23926,0,1
3,OrderStatus,1704390310.434924,21337,0,1
2,Payment,1704390310.456282,8844,0,1
2,Payment,1704390310.465150,28216,0,1
2,Payment,1704390310.493392,39069,0,1
2,Payment,1704390310.532502,10384,0,1
2,Payment,1704390310.543125,10424,0,1
2,Payment,1704390310.553571,2893,0,1
5,StockLevel,1704390310.556484,1633,0,1
2,Payment,1704390310.558136,3304,0,1
2,Payment,1704390310.561463,3335,0,1
1,NewOrder,1704390310.564817,6446,0,1
1,NewOrder,1704390310.571287,6666,0,1
2,Payment,1704390310.577976,8795,0,1
1,NewOrder,1704390310.586793,28579,0,1
2,Payment,1704390310.615400,40056,0,1
1,NewOrder,1704390310.655497,36340,0,1
1,NewOrder,1704390310.691862,44864,0,1
1,NewOrder,1704390310.736752,31864,0,1
1,NewOrder,1704390310.768738,29776,0,1
2,Payment,1704390310.798542,27820,0,1
2,Payment,1704390310.826387,21833,0,1
4,Delivery,1704390310.848258,55993,0,1
1,NewOrder,1704390310.904278,27332,0,1
2,Payment,1704390310.931639,26734,0,1
2,Payment,1704390310.958399,22270,0,1
1,NewOrder,1704390310.980692,73184,0,1
2,Payment,1704390311.053901,7844,0,1
2,Payment,1704390311.061768,28923,0,1
2,Payment,1704390311.090717,22176,0,1
1,NewOrder,1704390311.112918,22069,0,1
2,Payment,1704390311.135012,28562,0,1
1,NewOrder,1704390311.163598,37968,0,1
1,NewOrder,1704390311.201592,28513,0,1
1,NewOrder,1704390311.230131,26397,0,1
2,Payment,1704390311.257654,28298,0,1
1,NewOrder,1704390311.286195,26001,0,1
1,NewOrder,1704390311.312248,29075,0,1
4,Delivery,1704390311.341338,26091,0,1
1,NewOrder,1704390311.367444,29094,0,1
3,OrderStatus,1704390311.396554,3699,0,1
2,Payment,1704390311.400263,8106,0,1
2,Payment,1704390311.408384,7863,0,1
2,Payment,1704390311.416262,28509,0,1
1,NewOrder,1704390311.444787,29933,0,1
4,Delivery,1704390311.474737,49664,0,1
2,Payment,1704390311.524416,29329,0,1
2,Payment,1704390311.553762,9687,0,1
1,NewOrder,1704390311.563467,10886,0,1
1,NewOrder,1704390311.574370,6844,0,1
2,Payment,1704390311.581230,3385,0,1
1,NewOrder,1704390311.584630,6010,0,1
2,Payment,1704390311.590656,2951,0,1
2,Payment,1704390311.593622,4767,0,1
2,Payment,1704390311.598403,4016,0,1
2,Payment,1704390311.602434,3781,0,1
3,OrderStatus,1704390311.606230,3587,0,1
2,Payment,1704390311.609833,47440,0,1
1,NewOrder,1704390311.657293,27988,0,1
1,NewOrder,1704390311.685303,36455,0,1
5,StockLevel,1704390311.721774,2198,0,1
2,Payment,1704390311.723982,27719,0,1
1,NewOrder,1704390311.751717,37222,0,1
1,NewOrder,1704390311.788957,21516,0,1
2,Payment,1704390311.810493,3792,0,1
2,Payment,1704390311.814301,3487,0,1
2,Payment,1704390311.817805,3707,0,1
2,Payment,1704390311.821527,4840,0,1
2,Payment,1704390311.826383,3192,0,1
1,NewOrder,1704390311.829589,6225,0,1
1,NewOrder,1704390311.835830,24384,0,1
1,NewOrder,1704390311.860233,39101,0,1
1,NewOrder,1704390311.899352,31566,0,1
4,Delivery,1704390311.930936,35546,0,1
1,NewOrder,1704390311.966502,19679,0,1
1,NewOrder,1704390311.986200,2623,0,1
3,OrderStatus,1704390311.988833,748,0,1
2,Payment,1704390311.989589,31934,0,1
1,NewOrder,1704390312.021542,21888,0,1
2,Payment,1704390312.043446,31693,0,1
2,Payment,1704390312.075157,10369,0,1
2,Payment,1704390312.085542,10962,0,1
1,NewOrder,1704390312.096521,47113,0,1
2,Payment,1704390312.143665,30024,0,1
2,Payment,1704390312.173706,35452,0,1
1,NewOrder,1704390312.209176,32616,0,1
1,NewOrder,1704390312.241807,44927,0,1
1,NewOrder,1704390312.286769,30659,0,1
2,Payment,1704390312.317446,35691,0,1
2,Payment,1704390312.353154,21573,0,1
1,NewOrder,1704390312.374746,33767,0,1
1,NewOrder,1704390312.408775,31440,0,1
1,NewOrder,1704390312.440232,34232,0,1
1,NewOrder,1704390312.474481,32668,0,1
2,Payment,1704390312.507168,35071,0,1
1,NewOrder,1704390312.542257,44248,0,1
1,NewOrder,1704390312.586523,30728,0,1
2,Payment,1704390312.617267,9018,0,1
1,NewOrder,1704390312.626299,36456,0,1
2,Payment,1704390312.662773,31938,0,1
2,Payment,1704390312.694759,7692,0,1
1,NewOrder,1704390312.702465,50149,0,1
1,NewOrder,1704390312.752632,21221,0,1
1,NewOrder,1704390312.774082,33570,0,1
1,NewOrder,1704390312.807669,33863,0,1
2,Payment,1704390312.841549,3771,0,1
1,NewOrder,1704390312.845333,5820,0,1
1,NewOrder,1704390312.851168,44046,0,1
1,NewOrder,1704390312.895230,31948,0,1
1,NewOrder,1704390312.927194,34460,0,1
1,NewOrder,1704390312.961670,31842,0,1
2,Payment,1704390312.993563,7991,0,1
2,Payment,1704390313.001567,37735,0,1
1,NewOrder,1704390313.039318,21869,0,1
2,Payment,1704390313.061202,22145,0,1
1,NewOrder,1704390313.083362,32078,0,1
1,NewOrder,1704390313.115457,34352,0,1
2,Payment,1704390313.149827,35141,0,1
4,Delivery,1704390313.184986,57834,0,1
4,Delivery,1704390313.242857,51763,0,1
2,Payment,1704390313.294635,7385,0,1
2,Payment,1704390313.302033,7361,0,1
1,NewOrder,1704390313.309407,40865,0,1
3,OrderStatus,1704390313.350290,3548,0,1
2,Payment,1704390313.353852,6529,0,1
2,Payment,1704390313.360397,12114,0,1
1,NewOrder,1704390313.372528,10435,0,1
2,Payment,1704390313.382978,4492,0,1
1,NewOrder,1704390313.387483,17891,0,1
2,Payment,1704390313.405395,3570,0,1
2,Payment,1704390313.408978,4483,0,1
2,Payment,1704390313.413479,4403,0,1
1,NewOrder,1704390313.417898,7383,0,1
2,Payment,1704390313.425296,4422,0,1
3,OrderStatus,1704390313.429733,1678,0,1
2,Payment,1704390313.431422,3885,0,1
2,Payment,1704390313.435324,15119,0,1
2,Payment,1704390313.450460,6418,0,1
4,Delivery,1704390313.456929,69685,0,1
1,NewOrder,1704390313.526631,51392,0,1
1,NewOrder,1704390313.578041,16406,0,1
2,Payment,1704390313.594467,6430,0,1
1,NewOrder,1704390313.601236,9405,0,1
5,StockLevel,1704390313.610657,7106,0,1
1,NewOrder,1704390313.617774,229950,0,1
2,Payment,1704390313.847743,12615,0,1
2,Payment,1704390313.860374,9971,0,1
1,NewOrder,1704390313.870389,28135,0,1
2,Payment,1704390313.898564,6061,0,1
2,Payment,1704390313.904644,3663,0,1
1,NewOrder,1704390313.908322,27152,0,1
1,NewOrder,1704390313.935504,16492,0,1
2,Payment,1704390313.952013,9357,0,1
2,Payment,1704390313.961383,16818,0,1
1,NewOrder,1704390313.978218,8178,0,1
1,NewOrder,1704390313.986412,33836,0,1
1,NewOrder,1704390314.020264,38135,0,1
1,NewOrder,1704390314.058420,26897,0,1
2,Payment,1704390314.085335,9094,0,1
2,Payment,1704390314.094445,9179,0,1
2,Payment,1704390314.103639,8271,0,1
2,Payment,1704390314.111925,42196,0,1
5,StockLevel,1704390314.154138,4487,0,1
2,Payment,1704390314.158640,199809,0,1
1,NewOrder,1704390314.386012,44650,0,1
1,NewOrder,1704390314.430696,52854,0,1
2,Payment,1704390314.483573,14064,0,1
5,StockLevel,1704390314.497653,4058,0,1
2,Payment,1704390314.501722,55685,0,1
2,Payment,1704390314.557422,37626,0,1
4,Delivery,1704390314.595065,65083,0,1
1,NewOrder,1704390314.660165,34536,0,1
2,Payment,1704390314.694888,11191,0,1
2,Payment,1704390314.706095,3745,0,1
1,NewOrder,1704390314.710016,23222,0,1
2,Payment,1704390314.733254,7924,0,1
2,Payment,1704390314.741441,13932,0,1
1,NewOrder,1704390314.755389,33739,0,1
2,Payment,1704390314.789143,48142,0,1
2,Payment,1704390314.837302,10122,0,1
2,Payment,1704390314.847440,4219,0,1
1,NewOrder,1704390314.851674,40705,0,1
2,Payment,1704390314.892395,4781,0,1
5,StockLevel,1704390314.897188,2198,0,1
5,StockLevel,1704390314.899399,3248,0,1
2,Payment,1704390314.902659,10203,0,1
2,Payment,1704390314.912878,5420,0,1
1,NewOrder,1704390314.918312,9003,0,1
1,NewOrder,1704390314.927329,9537,0,1
2,Payment,1704390314.936881,4761,0,1
2,Payment,1704390314.941654,53694,0,1
2,Payment,1704390314.995365,29785,0,1
4,Delivery,1704390315.025166,59424,0,1
2,Payment,1704390315.084605,23980,0,1
1,NewOrder,1704390315.108601,54204,0,1
2,Payment,1704390315.162820,24038,0,1
1,NewOrder,1704390315.186874,44466,0,1
4,Delivery,1704390315.231355,59046,0,1
1,NewOrder,1704390315.290424,44075,0,1
1,NewOrder,1704390315.334514,51914,0,1
2,Payment,1704390315.386457,7539,0,1
2,Payment,1704390315.393996,3961,0,1
5,StockLevel,1704390315.397969,2249,0,1
2,Payment,1704390315.400230,10714,0,1
1,NewOrder,1704390315.410956,45818,0,1
2,Payment,1704390315.456789,8768,0,1
2,Payment,1704390315.465570,8615,0,1
1,NewOrder,1704390315.474197,44436,0,1
4,Delivery,1704390315.518650,33640,0,1
2,Payment,1704390315.552308,7201,0,1
2,Payment,1704390315.559522,3808,0,1
1,NewOrder,1704390315.563341,50916,0,1
1,NewOrder,1704390315.614274,38324,0,1
3,OrderStatus,1704390315.652612,3654,0,1
1,NewOrder,1704390315.656275,24025,0,1
2,Payment,1704390315.680315,45114,0,1
3,OrderStatus,1704390315.725444,4762,0,1
